,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
37,Kavaratti,10.57,72.64,83.75,68,77,2.24,IN
38,Fairbanks,64.84,-147.72,45,80,90,11.41,US
39,Bogorodskoye,56.55,37.88,32.13,88,95,11.63,RU
40,Puerto Ayacucho,5.66,-67.62,93.2,34,93,3.96,VE
41,Saint Paul Harbor,57.79,-152.41,46.4,75,1,6.93,US
42,Punta Arenas,-53.15,-70.92,50,87,75,9.17,CL
43,Wanaka,-44.7,169.15,54.1,63,92,4.54,NZ
44,Maryville,35.76,-83.97,62.6,31,20,4.7,US
45,Kologriv,58.83,44.32,33.64,91,100,5.37,RU
46,Tuktoyaktuk,69.45,-133.04,17.6,85,90,12.75,CA
47,Cidreira,-30.18,-50.21,65.86,78,4,11.36,BR
48,Upernavik,72.79,-56.15,24.69,89,100,9.66,GL
49,Bluff,-46.6,168.33,46,95,100,5.99,NZ
50,Miracatu,-24.28,-47.46,63.05,82,11,1.63,BR
51,Iquitos,-3.75,-73.25,77,83,90,12.75,PE
52,Atuona,-9.8,-139.03,82.76,72,29,12.1,PF
53,Orai,25.98,79.47,85.46,15,37,3.53,IN
54,Teguise,29.06,-13.56,68,72,20,3.36,ES
55,Cherskiy,68.75,161.3,9.72,92,50,5.48,RU
56,Lucapa,-8.42,20.74,66.99,74,100,1.72,AO
57,Ilulissat,69.22,-51.1,32,87,88,18.34,GL
58,Bambous Virieux,-20.34,57.76,77,73,40,11.41,MU
59,Chui,-33.7,-53.46,62.49,87,4,8.14,UY
60,Pevek,69.7,170.31,15.33,94,97,3.11,RU
61,Gizo Government Station,-8.1,156.84,78.64,88,100,15.61,SB
62,Lata,40.16,-8.33,57.99,82,20,8.05,PT
63,Qaanaaq,77.48,-69.36,16.02,83,100,2.13,GL
64,Mossamedes,-15.2,12.15,75.2,61,0,5.41,AO
65,Nome,64.5,-165.41,34,100,90,13.87,US
66,Katobu,-4.94,122.53,81.37,79,5,5.28,ID
67,Dikson,73.51,80.55,-1.68,86,0,9.62,RU
68,Zhangaözen,43.3,52.8,47.75,51,86,13.15,KZ
69,Marabu,4.41,114.01,78.8,94,75,5.82,MY
70,Hilo,19.73,-155.09,78.8,57,90,11.99,US
71,Arraial do Cabo,-22.97,-42.03,75.79,82,100,9.17,BR
72,Barrow,71.29,-156.79,15.8,78,90,10.29,US
73,Biltine,14.53,20.92,73.27,11,0,13.33,TD
74,Cabra,37.47,-4.44,60.01,93,100,3.51,ES
75,Sambava,-14.27,50.17,74.32,87,14,8.3,MG
76,Lebu,-37.62,-73.65,56.3,87,10,8.7,CL
77,Bambanglipuro,-7.95,110.28,80.4,82,88,6.55,ID
78,Herzberg,51.69,13.22,46.99,79,34,3.36,DE
79,Qian’an,44.99,124.06,54.79,38,100,7.65,CN
80,Avarua,-21.21,-159.78,82.4,61,92,5.82,CK
81,Nanortalik,60.14,-45.24,31.73,98,99,9.86,GL
82,Mehamn,71.04,27.85,35.31,92,100,17.72,NO
83,Provideniya,64.38,-173.3,32,97,90,13.42,RU
84,Jamestown,42.1,-79.24,37.4,50,40,16.11,US
85,Bilibino,68.05,166.44,12.47,84,70,2.51,RU
86,Kabanjahe,3.1,98.49,77,100,40,2.24,ID
87,Tasiilaq,65.61,-37.64,30.2,92,100,28.86,GL
88,Kapaa,22.08,-159.32,82.4,65,20,12.75,US
89,Henties Bay,-22.12,14.28,55.99,90,5,1.01,NA
90,Lüderitz,-26.65,15.16,55.4,87,41,12.75,NA
91,Alofi,-19.06,-169.92,80.1,73,100,14.07,NU
92,Uusikaupunki,60.8,21.41,35.6,74,10,6.93,FI
93,Dayong,25.02,118.29,68,72,75,4.47,CN
94,Faya,18.39,42.45,59,87,0,6.93,SA
95,Royan,45.63,-1.03,60.8,77,91,3.36,FR
96,Pitimbu,-7.47,-34.81,77,100,75,2.24,BR
97,Saint Anthony,45.02,-93.22,46,26,40,10.29,US
98,Ciudad del Carmen,18.63,-91.83,86,74,40,12.75,MX
99,Noyabrsk,63.2,75.45,32.77,93,99,11.95,RU
100,Road Town,18.42,-64.62,80.6,69,1,11.41,VG
101,General Roca,-39.03,-67.58,68,64,87,6.02,AR
102,Hay River,60.82,-115.8,44.6,48,75,8.05,CA
103,Husavik,66.04,-17.34,41,65,20,24.16,IS
104,Berlevåg,70.86,29.09,36.37,83,97,17.07,NO
105,Iqaluit,63.75,-68.51,8.6,78,75,19.46,CA
106,Ciudad Bolivar,8.12,-63.55,89.37,31,60,4.65,VE
107,Bethel,41.37,-73.41,46.4,24,1,8.05,US
108,Yangi Marg`ilon,40.43,71.72,50,76,65,4.7,UZ
109,Takoradze,4.88,-1.76,82.13,85,54,10.04,GH
110,Huarmey,-10.07,-78.15,74.66,70,42,7.94,PE
111,Pervomayskiy,53.25,40.29,38.28,73,74,15.23,RU
112,Kumul,42.8,93.45,63.54,22,95,9.64,CN
113,Margate,51.38,1.39,51.01,81,0,8.05,GB
114,Gamba,-2.65,10,78.6,88,100,4.41,GA
115,Portales,34.19,-103.33,77,13,1,21.92,US
116,Pueblo,38.25,-104.61,39.2,48,90,23.04,US
117,Colombo,6.93,79.85,78.01,84,47,3.94,LK
118,Ponta do Sol,32.67,-17.1,60.8,67,20,3.36,PT
119,Ndungu,-4.37,38.05,72.14,76,97,5.99,TZ
120,Esperance,-33.87,121.9,57.2,87,0,5.82,AU
121,East London,-33.02,27.91,63.12,67,0,4.65,ZA
122,Butaritari,3.07,172.79,83.98,75,99,13.87,KI
123,Havelock,34.88,-76.9,66.2,25,1,9.17,US
124,Sitka,57.05,-135.33,46.4,93,90,6.93,US
125,Northam,51.03,-4.22,54,100,42,5.95,GB
126,Kamenka,51.32,42.77,43,89,78,4,RU
127,Tura,25.52,90.22,67.12,67,79,1.34,IN
128,Jinchang,38.5,102.17,43.74,27,100,10.33,CN
129,Mahébourg,-20.41,57.7,77,73,40,11.41,MU
130,Koungou,-12.73,45.2,80.6,83,75,2.24,YT
131,Hermanus,-34.42,19.23,59,94,92,2.26,ZA
132,Inndyr,67.03,14.03,37.4,74,75,17.22,NO
133,Khatanga,71.97,102.5,4.93,90,0,12.06,RU
134,Nelson Bay,-32.72,152.15,77,69,75,3.36,AU
135,Guánica,17.97,-66.91,81,70,8,1.99,PR
136,Boa Vista,2.82,-60.67,87.8,45,71,5.82,BR
137,Tiksi,71.69,128.87,-4.56,91,100,7.18,RU
138,Airai,-8.93,125.41,69.06,58,6,3.22,TL
139,Sisimiut,66.94,-53.67,26.8,91,99,11.79,GL
140,Alta Floresta,-9.88,-56.09,73,89,86,2.89,BR
141,Klaksvík,62.23,-6.59,39.2,86,51,10.54,FO
142,Raudeberg,61.99,5.14,39.2,60,28,4.7,NO
143,Port Elizabeth,-33.92,25.57,55.4,82,0,4.7,ZA
144,Dwārka,22.24,68.97,81.07,72,81,12.46,IN
145,Ucluelet,48.93,-125.55,69.01,48,5,5.82,CA
146,Souillac,-20.52,57.52,77,73,40,11.41,MU
147,Tessalit,20.2,1.01,82.2,17,25,10.13,ML
148,Tabou,4.42,-7.35,80.83,88,66,8.25,CI
149,Thenzawl,23.32,92.75,61.65,79,71,1.39,IN
150,Chānasma,23.72,72.12,78.35,58,87,6.06,IN
151,Santo Antônio do Sudoeste,-26.07,-53.73,53.04,57,0,4.07,BR
152,Noumea,-22.28,166.46,82.4,54,33,3.36,NC
153,Warri,5.52,5.75,81.21,89,99,4.85,NG
154,Great Bend,38.36,-98.76,42.8,75,90,26.4,US
155,Vardø,70.37,31.11,35.85,85,99,20.51,NO
156,Calvinia,-31.47,19.78,53.8,37,14,2.37,ZA
157,Gorontalo,0.54,123.06,83.14,71,34,2.35,ID
158,Fortuna,40.6,-124.16,64.99,87,20,9.17,US
159,Bubaque,11.28,-15.83,79.47,69,49,14.2,GW
160,Mar del Plata,-38,-57.56,62.01,87,0,3.36,AR
161,Carnarvon,-24.87,113.63,73.4,73,75,6.93,AU
162,Kangaatsiaq,68.31,-53.46,29.17,97,100,2.64,GL
163,Saint George,37.1,-113.58,73,21,20,16.11,US
164,Praia da Vitória,38.73,-27.07,57.2,87,40,8.84,PT
165,Aklavik,68.22,-135.01,33.8,86,90,17.22,CA
166,Hirara,24.8,125.28,73.4,78,20,6.93,JP
167,Hithadhoo,-0.6,73.08,84.54,70,68,6.69,MV
168,Kishanganj,26.12,87.93,74.37,60,7,7.14,IN
169,Assiut,27.18,31.18,66.2,55,44,20.8,EG
170,Yerbogachën,61.28,108.01,24.08,89,57,10.96,RU
171,Veracruz,19.33,-96.67,80.6,74,20,10.29,MX
172,Geraldton,-28.77,114.6,64.4,77,86,5.82,AU
173,Kidal,18.44,1.41,84.63,18,39,10.76,ML
174,Kropotkin,45.44,40.58,45,64,16,23.69,RU
175,Port-Cartier,50.03,-66.87,32,90,90,16.11,CA
176,Mogadishu,2.04,45.34,83.64,76,64,12.06,SO
177,Hamilton,39.18,-84.53,48.99,39,75,9.17,US
178,Izhma,65.01,53.91,33.35,90,96,9.35,RU
179,Prome,18.82,95.22,72.57,70,34,2.39,MM
180,Setúbal,38.52,-8.89,61,93,40,10.29,PT
181,Cabo San Lucas,22.89,-109.91,84,41,20,10.29,MX
182,Zhalantun,48,122.72,44.01,70,95,3,CN
183,Banda Aceh,5.56,95.32,79.43,82,100,8.03,ID
184,Kudahuvadhoo,2.67,72.89,84.97,64,23,3.11,MV
185,Zemen,42.48,22.75,45,80,17,2.24,BG
186,Lufilufi,-13.87,-171.6,83.55,75,99,13.18,WS
187,Shorewood,41.52,-88.2,44.6,33,1,5.82,US
188,Otukpo,7.19,8.13,83.01,69,47,10.65,NG
189,Dhār,22.6,75.3,82.04,21,91,12.75,IN
190,Kaeo,-35.1,173.78,73.99,80,98,5.99,NZ
191,Kemijärvi,66.71,27.43,29.07,95,100,12.88,FI
192,Kimbe,-5.55,150.14,85.6,67,100,1.92,PG
193,Vila Franca do Campo,37.72,-25.43,55.4,87,20,3.36,PT
194,Engenheiro Beltrão,-23.8,-52.27,64.99,59,0,1.01,BR
195,Abū Zabad,12.35,29.25,71.82,13,22,11.9,SD
196,Shakiso,5.75,38.92,60.51,59,65,1.43,ET
197,Furano,43.28,142.47,41,60,20,2.24,JP
198,Tuatapere,-46.13,167.68,46,95,98,5.99,NZ
199,Svetlaya,46.54,138.33,46.31,55,0,3.65,RU
200,Saint-François,46.42,3.91,53.6,62,82,4,FR
201,Constitución,-35.33,-72.42,56.01,82,33,5.53,CL
202,Kuvshinovo,57.03,34.17,30.15,93,59,10.92,RU
203,Nikolskoye,59.7,30.79,37.4,90,75,11.18,RU
204,Isangel,-19.55,169.27,84.2,66,75,9.17,VU
205,Turukhansk,65.82,87.98,33.82,90,98,8.28,RU
206,Castro,-24.79,-50.01,53.17,38,0,1.72,BR
207,Jalu,29.03,21.55,66.31,38,82,7.96,LY
208,Leningradskiy,69.38,178.42,16.18,95,100,8.68,RU
209,Nisko,50.52,22.14,51.8,73,100,4.7,PL
210,Bar Harbor,44.39,-68.2,39.99,32,20,4.7,US
211,College,64.86,-147.8,46.4,70,90,11.41,US
212,Bontang,0.13,117.5,81.52,82,79,8.63,ID
213,Lokosovo,61.13,74.82,34.7,89,60,9.06,RU
214,Soe,-9.86,124.28,73.27,75,17,4.27,ID
215,Padang,-0.95,100.35,77.77,78,98,2.51,ID
216,Wucheng,29.6,118.17,71.31,62,28,0.69,CN
217,Mayo,38.89,-76.51,51.01,31,1,9.17,US
218,Broome,42.25,-75.83,36,86,90,12.75,US
219,Bodden Town,19.28,-81.25,86,79,20,9.17,KY
220,Broken Hill,-31.95,141.43,57.2,62,91,13.87,AU
221,Mudu,31.25,120.51,66.99,73,100,3.78,CN
222,Rustam,27.97,68.8,78.8,61,40,5.1,PK
223,Perelyub,51.87,50.37,39.97,70,61,18.7,RU
224,Kalaisan,7.01,125.05,78.8,88,40,5.82,PH
225,Bonthe,7.53,-12.51,81.39,82,70,7.76,SL
226,Saskylakh,71.92,114.08,-5.15,90,0,3.02,RU
227,Misratah,32.38,15.09,60.93,79,9,10.63,LY
228,Te Anau,-45.42,167.72,55.99,71,85,4.54,NZ
229,Pacanga,-7.17,-79.5,66.2,29,4,26.4,PE
230,Alexandria,31.22,29.96,62.6,82,40,16.11,EG
231,Saint-Pierre,-21.34,55.48,75.2,69,23,13.87,RE
232,George Town,5.41,100.34,80.6,88,40,3.51,MY
233,Sur,22.57,59.53,79.84,58,42,5.73,OM
234,Naze,28.37,129.48,69.8,64,75,9.17,JP
235,Conceição da Barra,-18.59,-39.73,77.43,88,32,8.37,BR
236,Pokrovskoye,47.42,38.9,48.99,66,89,34,RU
237,San Pedro de Macorís,18.46,-69.3,82.4,74,20,5.01,DO
238,Loja,-3.99,-79.2,64.4,93,90,1.12,EC
239,Clyde River,70.47,-68.59,3.2,84,20,12.75,CA
240,Tongren,27.72,109.19,68.77,80,90,1.36,CN
241,Kruisfontein,-34,24.73,55.72,64,12,4,ZA
242,Bonavista,48.65,-53.11,34,76,92,14,CA
243,Emerald,-23.53,148.17,79,69,0,3.36,AU
244,Igrim,63.19,64.42,41.47,94,100,11.61,RU
245,Ishigaki,24.34,124.16,73.4,78,40,8.05,JP
246,Salinópolis,-0.61,-47.36,81.18,78,94,4.85,BR
247,Morgan City,29.7,-91.21,71.6,43,1,13.87,US
248,San Luis,-33.3,-66.34,63.75,40,1,11.23,AR
249,Līvāni,56.35,26.18,34.14,86,49,10.09,LV
250,Luhyny,51.08,28.4,39.67,69,8,10.27,UA
251,Puerto Suárez,-18.95,-57.8,65.57,49,0,4.32,BO
252,Svobodnyy,51.4,128.13,51.49,39,1,3.58,RU
253,Torbay,47.67,-52.73,32,86,90,23.04,CA
254,Siddipet,18.1,78.85,77.5,40,0,8.46,IN
255,Roald,62.58,6.13,39.2,55,91,5.82,NO
256,Khandyga,62.67,135.6,4.33,84,41,4.54,RU
257,Jumla,29.27,82.18,48.13,25,85,3.56,NP
258,Yumen,40.28,97.2,50,22,100,16.89,CN
259,Bandarbeyla,9.49,50.81,81.57,75,13,6.06,SO
260,Saint-Augustin,51.23,-58.65,24.78,90,80,8.46,CA
261,Longyearbyen,78.22,15.64,30.2,74,75,6.93,SJ
262,Sabha,27.04,14.43,74.57,31,69,11.63,LY
263,Gohāna,29.13,76.7,82.38,17,99,4.18,IN
264,Polis,35.04,32.43,55.4,82,0,3.36,CY
265,Marsá Maţrūḩ,31.35,27.25,59,72,75,11.41,EG
266,Garh Maharaja,30.83,71.91,80.6,22,96,2.73,PK
267,Lloydminster,53.28,-110,41,52,75,10.29,CA
268,Dingli,35.86,14.38,57.99,82,46,4.7,MT
269,Puerto Peñasco,31.32,-113.53,72,55,0,3,MX
270,Arles,43.68,4.63,50,100,19,1.12,FR
271,Thompson,55.74,-97.86,28.4,50,75,3.36,CA
272,Yatou,37.15,122.38,53.58,70,15,10.13,CN
273,Bengkulu,-3.8,102.27,76.08,89,100,5.3,ID
274,Kirkby in Ashfield,53.1,-1.24,48.99,81,88,13.87,GB
275,Baracoa,20.35,-74.5,78.96,81,4,2.93,CU
276,Olavarría,-36.89,-60.32,61,65,3,5.46,AR
277,Lagos,6.58,3.75,84.2,89,20,5.82,NG
278,Palmer,42.16,-72.33,42.8,26,75,25.28,US
279,Dingle,11,122.67,83.97,72,39,10.09,PH
280,Oil City,41.43,-79.71,37.99,51,90,12.75,US
281,Panabá,21.28,-88.27,82.63,69,47,9.89,MX
282,Meulaboh,4.14,96.13,77.81,85,100,2.15,ID
283,Mount Gambier,-37.83,140.77,55.4,87,90,10.29,AU
284,Phek,25.67,94.5,53.71,58,80,1.54,IN
285,Troitsko-Pechorsk,62.71,56.2,32.45,91,100,7.9,RU
286,Sørland,67.67,12.69,36.48,79,100,28.63,NO
287,Inuvik,68.35,-133.72,33.8,92,90,17.22,CA
288,Kavieng,-2.57,150.8,77.56,92,100,20.78,PG
289,Sorong,-0.88,131.25,80.06,82,98,6.04,ID
290,El Ejido,36.78,-2.81,62.6,82,20,2.24,ES
291,Segezha,63.74,34.32,30.11,97,98,9.17,RU
292,Pringsewu,-5.36,104.97,76.55,87,97,2.1,ID
293,Tiquicheo,18.88,-100.73,100.15,11,1,8.43,MX
294,Talnakh,69.49,88.4,19.4,73,34,13.42,RU
295,Los Llanos de Aridane,28.66,-17.92,68,68,90,9.17,ES
296,Beringovskiy,63.05,179.32,24.93,96,97,18.07,RU
297,Juegang,32.32,121.19,64,83,95,2.46,CN
298,Guerrero Negro,27.98,-114.06,72,35,100,14.79,MX
299,Yagodnoye,62.55,149.67,3.04,84,100,7.43,RU
300,Westport,41.14,-73.36,46.4,22,1,16.11,US
301,Araouane,18.9,-3.53,85.59,21,5,9.71,ML
302,Maceió,-9.67,-35.74,75.2,94,75,10.29,BR
303,Vikhorevka,56.12,101.16,33.8,80,77,6.71,RU
304,Catió,11.28,-15.25,80.33,66,90,8.59,GW
305,Ailigandí,9.23,-78.02,78.76,82,53,7.7,PA
306,Zverinogolovskoye,54.46,64.85,48.11,51,100,19.24,RU
307,Ribeira Brava,32.65,-17.07,60.8,67,20,3.36,PT
308,Hoopstad,-27.83,25.91,54.36,24,0,5.44,ZA
309,Berezniki,59.42,56.81,33.01,84,100,3,RU
310,Xinzhou,38.41,112.73,51.96,29,0,11.68,CN
311,Sioux Lookout,50.1,-91.92,32,81,40,10.29,CA
312,Rupert,42.62,-113.68,46,28,90,4.7,US
313,Kunming,25.04,102.72,55.4,66,0,11.18,CN
314,Kindu,-2.95,25.95,72.9,82,93,2.95,CD
315,Kununurra,-15.77,128.73,82.4,69,97,1.12,AU
316,Champerico,14.3,-91.92,87.1,60,33,6.22,GT
317,Faanui,-16.48,-151.75,83.26,66,15,9.71,PF
318,Al Bardīyah,31.76,25.09,57.47,74,1,8.59,LY
319,Kargil,34.57,76.1,28.54,23,93,3.67,IN
320,Salina,38.84,-97.61,44.6,75,90,18.34,US
321,Surab,28.49,66.26,55.8,43,79,15.05,PK
322,Sistranda,63.73,8.83,37.4,74,75,23.04,NO
323,Lompoc,34.64,-120.46,70,72,1,14.99,US
324,Erzin,36.96,36.2,62.01,76,40,6.93,TR
325,Hobyo,5.35,48.53,84.02,76,65,11.68,SO
326,Lengshuijiang,27.69,111.43,73.65,71,24,1.12,CN
327,São Borja,-28.66,-56,57.15,49,0,4.88,BR
328,Whitehorse,60.72,-135.05,53.6,46,75,2.53,CA
329,Peniche,39.36,-9.38,60.01,82,20,8.05,PT
330,Lixouri,38.2,20.43,53.01,28,0,5.35,GR
331,Deputatsky,69.3,139.9,-1.97,85,100,5.82,RU
332,Touros,-5.2,-35.46,77,94,20,4.7,BR
333,Maniitsoq,65.42,-52.9,27.95,96,100,21.52,GL
334,Laurel,39.1,-76.85,50,39,1,10.29,US
335,Bagan,54.1,77.66,44.04,76,5,5.1,RU
336,Tautira,-17.73,-149.15,89.6,62,8,10.29,PF
337,Severnyy,50.68,36.55,44.6,56,32,11.18,RU
338,Marawi,8,124.29,77.61,58,55,1.5,PH
339,Grindavik,63.84,-22.43,44.6,100,90,14.99,IS
340,Vredendal,-31.67,18.5,58.59,86,17,0.98,ZA
341,Kanniyākumāri,8.08,77.57,83.26,73,85,3.44,IN
342,Sladkovo,55.53,70.34,44.8,63,100,11.56,RU
343,Manokwari,-0.87,134.08,83.77,67,91,1.95,ID
344,Mangaratiba,-22.96,-44.04,72.16,80,98,5.57,BR
345,Atar,20.52,-13.05,78.48,17,95,3.09,MR
346,Ukiah,39.15,-123.21,78.8,31,1,8.05,US
347,Mikhaylovka,50.06,43.24,46.99,78,93,7,RU
348,Kandrian,-6.22,149.55,84.58,69,100,4.14,PG
349,Tra Vinh,9.93,106.35,82.71,75,92,10.89,VN
350,Itoman,26.12,127.67,71.6,64,20,9.17,JP
351,Huntingdon,52.33,-0.19,50,76,51,9.17,GB
352,Nipawin,53.37,-104,32,85,20,18.34,CA
353,Saravena,6.95,-71.88,79.88,49,54,3.31,CO
354,Kaitangata,-46.28,169.85,48.99,81,100,4,NZ
355,Yambio,4.57,28.4,74.39,53,83,3.62,SS
356,Kailua,21.4,-157.74,84.2,58,75,11.41,US
357,Khatauli,29.28,77.72,80.92,19,100,6.06,IN
358,Pisco,-13.7,-76.22,73,30,11,19.46,PE
359,Katsuura,35.13,140.3,57,62,40,9.17,JP
360,Byron Bay,-28.65,153.62,80.6,51,16,9.17,AU
361,Codrington,-38.27,141.97,59.74,66,69,19.66,AU
362,Ol'ga,43.74,135.29,44.08,61,91,10.25,RU
363,Barra de Tecoanapa,16.52,-98.75,83.66,58,46,7.34,MX
364,Saint-Louis,16.33,-15,74.07,41,27,16.46,SN
365,Linkou,45.3,130.28,49.69,49,97,6.98,CN
366,Bathurst,-33.42,149.58,55,61,24,7,AU
367,Poum,-20.23,164.02,78.42,79,8,9.6,NC
368,Ancud,-41.87,-73.82,59,100,90,17.22,CL
369,Yar-Sale,66.83,70.83,25.68,98,99,15.14,RU
370,Upata,8.01,-62.4,81.82,39,45,5.55,VE
371,Key West,24.56,-81.78,86,74,1,8.05,US
372,Guantánamo,20.14,-75.21,82.4,83,40,11.41,CU
373,Pingliang,35.54,106.69,48.15,27,80,4.27,CN
374,Arriaga,16.23,-93.9,86.38,65,99,4.9,MX
375,Moerai,-22.43,-151.33,78.55,61,100,8.59,PF
376,Cap-aux-Meules,47.38,-61.86,30.2,58,5,16.11,CA
377,Portland,45.52,-122.68,72,18,1,21.92,US
378,Samthar,25.85,78.92,85.59,17,78,1.41,IN
379,Bhānpura,24.51,75.75,84.29,23,90,9.66,IN
380,Harper,4.38,-7.72,81.41,86,56,9.08,LR
381,Marquard,-28.66,27.43,46.96,32,0,4.21,ZA
382,Cabedelo,-6.98,-34.83,77,100,75,2.24,BR
383,Parintins,-2.63,-56.74,75.38,93,72,0.83,BR
384,Hanmer Springs,-42.52,172.82,58.14,55,84,4.14,NZ
385,Qinhuangdao,39.93,119.59,51.93,59,84,12.97,CN
386,Narrabri,-30.32,149.78,77,36,40,12.75,AU
387,Iquique,-20.22,-70.14,68,72,1,19.46,CL
388,Labuhan,-6.88,112.21,81.3,82,79,2.82,ID
389,Tārānagar,28.67,75.04,87.21,15,100,6.31,IN
390,Port Lincoln,-34.73,135.87,62.58,60,24,9.75,AU
391,Nouadhibou,20.93,-17.03,66.2,82,59,17.22,MR
392,Korla,41.76,86.15,58.39,43,100,9.95,CN
393,Salalah,17.02,54.09,82.4,74,20,3.36,OM
394,Boromo,11.75,-2.93,94.37,17,18,4.29,BF
395,Río Gallegos,-51.62,-69.22,60.8,55,75,6.93,AR
396,Nueve de Julio,-35.44,-60.88,57.58,53,0,5.46,AR
397,Luganville,-15.53,167.17,80.6,94,75,4.7,VU
398,San Cristobal,7.77,-72.22,70.3,53,39,0.51,VE
399,Rock Sound,24.9,-76.2,78.66,82,65,4.56,BS
400,Nyzhni Sirohozy,46.85,34.38,48.2,70,59,19.55,UA
401,Porto-Novo,6.5,2.6,86,84,40,12.75,BJ
402,Río Tercero,-32.17,-64.11,62.4,48,0,6.38,AR
403,Yuancheng,36.65,107.79,46.9,29,19,7.52,CN
404,Shar,49.59,81.05,40.75,62,0,2.08,KZ
405,Takaungu,-3.68,39.86,78.8,83,75,8.05,KE
406,Birnin Kebbi,12.45,4.2,87.76,11,0,7.4,NG
407,Flin Flon,54.77,-101.86,37.4,34,20,11.41,CA
408,Kieta,-6.22,155.63,79.32,84,100,7.72,PG
409,Maun,-19.98,23.42,71.6,60,21,6.93,BW
410,Iwanai,42.97,140.51,46.56,56,0,4.72,JP
411,Panguna,-6.32,155.48,72.23,83,100,4.47,PG
412,Andra,62.51,65.89,41.11,94,100,12.77,RU
413,San Ramon,37.78,-121.98,73.99,59,1,9.17,US
414,Pontal do Paraná,-25.65,-48.51,55.4,76,0,6.93,BR
415,Akita,39.72,140.12,42.8,53,12,5.82,JP
416,Dakar,14.69,-17.44,70.16,82,59,20.94,SN
417,Southbridge,42.08,-72.03,43,32,75,14.99,US
418,Parkersburg,39.27,-81.56,50,25,1,11.41,US
419,Mackay,-21.15,149.2,82,78,37,8.05,AU
420,Yellowknife,62.46,-114.35,37,92,90,9.17,CA
421,Itaituba,-4.28,-55.98,74.52,91,57,0.13,BR
422,Nantucket,41.28,-70.1,43,56,75,17.6,US
423,Hasaki,35.73,140.83,54,62,75,8.05,JP
424,Caçapava do Sul,-30.51,-53.49,54.36,86,42,4.47,BR
425,Flinders,-34.58,150.86,71.01,45,3,13.87,AU
426,Abhā,18.22,42.51,59,87,0,6.93,SA
427,Itaú de Minas,-20.74,-46.75,66.56,71,15,1.81,BR
428,Likhoslavl',57.13,35.46,30.85,92,58,10.76,RU
429,Port Blair,11.67,92.75,82.72,74,95,3.8,IN
430,San Policarpo,12.18,125.51,82.26,81,82,13.53,PH
431,Turaif,31.67,38.66,64.4,48,75,13.87,SA
432,Vysokogornyy,50.12,139.15,43.05,47,0,4.94,RU
433,Eilat,29.56,34.95,68,52,21,13.87,IL
434,Elsterwerda,51.45,13.53,51.8,62,33,2.24,DE
435,Sayula,19.87,-103.62,87.8,29,5,5.82,MX
436,Dale,38.17,-86.99,57.99,37,1,3.36,US
437,Sept-Îles,50.2,-66.38,32,89,90,16.11,CA
438,Vila Velha,-20.33,-40.29,77,88,80,6.93,BR
